Time,Centroid Distance,Cohen d
0,1.924386576016938e-17,
1,1.2647059310151438,2.1153834146220016
2,1.488526491415118,1.8542229327817277
4,1.9729244411226126,2.0115381347089305
8,3.4411555791669515,1.8783946178782787
