Noise Level,Full Features AUC,Survival Only AUC
0.0,0.9441759259259258,0.9234907407407408
0.01,0.9452962962962963,0.9255833333333333
0.05,0.9385925925925925,0.9145
0.1,0.9383148148148147,0.8875648148148148
0.2,0.9173888888888889,0.8541481481481481
0.5,0.8915740740740741,0.8110925925925926
