Feature Set,Accuracy Mean,Accuracy SD,AUC Mean,AUC SD
w_only,1.0,0.0,1.0,0.0
oracle,0.9106249999999999,1.2161883888976234e-16,0.9594154166666667,0.001187562936928656
full,0.881625,0.0034141250709368845,0.9510104166666664,0.0018892553004498198
