g,W_star,AUC Mean,AUC SD
0.1,3.5,0.9245166666666667,0.016935613363560236
0.2,3.5,0.9299,0.016290965458055473
0.3,3.5,0.94385,0.011212270064531992
0.4,3.5,0.9501333333333333,0.011292401575100535
0.5,0.831230283911672,0.9921785714285715,0.0066118708951925075
