Training Fraction,Training Samples,AUC Mean,AUC SD
0.1,160,0.9179002057613168,0.00574022620376549
0.2,320,0.9316932291666667,0.006051230397441247
0.4,640,0.9431217592592592,0.006191299200113216
0.6,960,0.9483583333333334,0.0063814564255435646
0.8,1280,0.9567875000000001,0.01161828808626968
