Seed,"ESN AUC (classical, same input)",QRC AUC (quantum dynamics)
42,0.8846166666666667,0.9525083333333335
123,0.8658666666666667,0.9483791666666669
321,0.8756666666666666,0.9483249999999999
777,0.8859333333333334,0.9513999999999999
999,0.8850583333333333,0.9495666666666667
2024,0.88825,0.9493833333333332
31415,0.8710416666666667,0.9517916666666666
27182,0.8845000000000001,0.9519624999999999
16180,0.8816666666666666,0.9525124999999999
9001,0.8874666666666666,0.954275
